idx,device,sample,cpu_line (pc),cpu_line (orin),cpu_line (pi)
325,19,5,236553882.0,788014699.0,2836100224.0
326,19,6,222837776.0,791790478.0,2797788682.0
327,19,7,232322140.0,806680110.0,2813159359.0
328,19,8,225121975.0,788094542.0,2840340257.0
329,19,9,226515487.0,779987363.0,2825538679.0
330,19,10,229113721.0,798674875.0,2841966990.0
331,19,11,227005633.0,765355104.0,2819447122.0
332,19,12,229478291.0,772573677.0,2814631013.0
333,19,13,224272072.0,779381496.0,2778281176.0
334,19,14,233690512.0,792121789.0,2842452708.0
335,19,15,230943143.0,800455847.0,2819849309.0
336,19,16,237460076.0,801002708.0,2845315676.0
337,19,17,225408818.0,789875970.0,2856302085.0
338,19,18,223177815.0,790173936.0,2775443548.0
339,19,19,225341371.0,821679550.0,2848021440.0
340,19,20,222957982.0,801399099.0,2776924896.0
341,20,1,217885224.0,768522428.0,2583432371.0
342,20,2,214189299.0,795352050.0,2569900285.0
343,20,3,215781729.0,817129681.0,2547086527.0
344,20,4,215814860.0,782957095.0,2553928142.0
345,20,5,213645320.0,775245362.0,2546904768.0
346,20,6,216127487.0,786946390.0,2544958986.0
347,20,7,213550037.0,765251625.0,2553066005.0
348,20,8,213724281.0,783046163.0,2546791540.0
349,20,9,219177773.0,787147088.0,2550434493.0
350,20,10,217390587.0,801595055.0,2577209103.0
351,20,11,216129786.0,774693308.0,2548892641.0
352,20,12,213080692.0,786864864.0,2583891624.0
353,20,13,214531514.0,788519452.0,2557182673.0
354,20,14,213601827.0,771171775.0,2554884864.0
355,20,15,215791204.0,811713396.0,2565341219.0
356,20,16,221016386.0,809066518.0,2547919918.0
357,20,17,215111285.0,707295878.0,2574446639.0
358,20,18,216195767.0,775284941.0,2546436630.0
359,20,19,214618476.0,795704512.0,2546559901.0
360,20,20,216145674.0,803881763.0,2549297704.0
361,21,1,221464765.0,799756712.0,2508498429.0
362,21,2,214440197.0,830405657.0,2556539198.0
363,21,3,213708630.0,783526695.0,2531836711.0
364,21,4,215225453.0,785436851.0,2523654953.0
365,21,5,210420157.0,801930232.0,2508456376.0
366,21,6,219187194.0,782135949.0,2573085459.0
367,21,7,343534154.0,803930295.0,2588486532.0
368,21,8,214905067.0,783035854.0,2584815774.0
369,21,9,219609304.0,791311294.0,2556690072.0
370,21,10,213586727.0,797045166.0,2521446115.0
371,21,11,216050627.0,786224552.0,2560458618.0
372,21,12,214529951.0,823118035.0,2528900131.0
373,21,13,214298457.0,781921776.0,2561224509.0
374,21,14,213024318.0,784985571.0,2518496693.0
375,21,15,216033033.0,792089741.0,2522056673.0
376,21,16,237659171.0,787278207.0,2585109015.0
377,21,17,213714115.0,711930146.0,2572919126.0
378,21,18,218937550.0,782600487.0,2517369933.0
379,21,19,214952863.0,786721700.0,2532404850.0
380,21,20,216241244.0,787276967.0,2595931043.0
381,22,1,211723869.0,787590007.0,2507234998.0
382,22,2,142.0,2624.0,1875.0
383,22,3,153.0,2688.0,1979.0
384,22,4,122.0,2944.0,4844.0
385,22,5,215529793.0,781160097.0,2590102112.0
386,22,6,212371907.0,771037519.0,2501765638.0
387,22,7,127.0,2176.0,1979.0
388,22,8,142.0,3136.0,1928.0
389,22,9,140.0,3328.0,2031.0
390,22,10,435.0,2784.0,4584.0
391,22,11,214291218.0,775981931.0,2514183409.0
392,22,12,170.0,2528.0,2031.0
393,22,13,182.0,2816.0,4895.0
394,22,14,211303929.0,781786576.0,2512639953.0
395,22,15,137.0,2400.0,2032.0
396,22,16,211911550.0,789349941.0,2525597976.0
397,22,17,128.0,2464.0,2083.0
398,22,18,213908763.0,803727974.0,2523016157.0
399,22,19,184.0,2176.0,2031.0
400,22,20,213900735.0,798854277.0,2529879012.0
401,23,1,219198340.0,800097894.0,2659014780.0
402,23,2,218483548.0,812273191.0,2719729367.0
403,23,3,215665380.0,785775553.0,2604062852.0
404,23,4,215768371.0,785415839.0,2664035673.0
405,23,5,215460153.0,801862118.0,2682385361.0
406,23,6,215577544.0,789119660.0,2624206624.0
407,23,7,214716717.0,827478212.0,2608054439.0
408,23,8,221662860.0,791513915.0,2651260241.0
409,23,9,214641139.0,783232708.0,2605358490.0
410,23,10,215097143.0,776555397.0,2602496429.0
411,23,11,219845247.0,811814364.0,2613051349.0
412,23,12,216756922.0,782570208.0,2577967505.0
413,23,13,218941840.0,771399345.0,2658723509.0
414,23,14,214881274.0,791050983.0,2640527277.0
415,23,15,221111672.0,769066762.0,2681099609.0
416,23,16,215585719.0,799037369.0,2607427004.0
417,23,17,218077032.0,792212004.0,2609949237.0
418,23,18,220419549.0,778193274.0,2655866711.0
419,23,19,218327195.0,781741037.0,2637490659.0
420,23,20,217901895.0,797990719.0,2639646395.0
421,24,1,217110722.0,787837674.0,2606801664.0
422,24,2,216441556.0,768593132.0,2595072728.0
423,24,3,223481615.0,773163026.0,2596758703.0
424,24,4,219637178.0,799005493.0,2619292731.0
425,24,5,217492295.0,793835468.0,2608413372.0
426,24,6,236214952.0,808474423.0,2614027064.0
427,24,7,215269167.0,820767710.0,2603666037.0
428,24,8,216932590.0,795912796.0,2609295997.0
429,24,9,214941931.0,742348738.0,2598305896.0
430,24,10,218396876.0,795892934.0,2616271113.0
431,24,11,215507910.0,773462247.0,2623562708.0
432,24,12,215656850.0,786151765.0,2612247516.0
433,24,13,216202845.0,778081437.0,2592605933.0
434,24,14,216752725.0,784915653.0,2613890186.0
435,24,15,217249308.0,775149751.0,2591898430.0
436,24,16,216561468.0,797801250.0,2616343512.0
437,24,17,216037690.0,820934882.0,2612963549.0
438,24,18,216937785.0,793929912.0,2604329614.0
439,24,19,218291127.0,786933516.0,2604109759.0
440,24,20,219421480.0,783623544.0,2647259685.0
441,25,1,218648185.0,790191761.0,2645017382.0
442,25,2,220333659.0,780335131.0,2678370064.0
443,25,3,217191172.0,797177170.0,2696245939.0
444,25,4,219121360.0,770578556.0,2689633714.0
445,25,5,217479498.0,784896661.0,2679322248.0
446,25,6,216990439.0,784842626.0,2690745566.0
447,25,7,217890434.0,774677372.0,2675410040.0
448,25,8,217227639.0,812652153.0,2654966316.0
449,25,9,218163065.0,793930491.0,2685203896.0
450,25,10,219209289.0,771480990.0,2653526454.0
451,25,11,217979305.0,811612408.0,2649171372.0
452,25,12,217275137.0,771954774.0,2650208933.0
453,25,13,219692274.0,788982527.0,2620593500.0
454,25,14,219146571.0,785356608.0,2676018330.0
455,25,15,216557481.0,778390185.0,2689073510.0
456,25,16,220450594.0,790316901.0,2645890363.0
457,25,17,219078537.0,798211006.0,2671685313.0
458,25,18,216975457.0,807268593.0,2675839510.0
459,25,19,221146439.0,795505854.0,2680431982.0
460,25,20,217859631.0,796371746.0,2678768231.0
461,26,1,213745876.0,811568278.0,2541038735.0
462,26,2,216900329.0,788285397.0,2568325370.0
463,26,3,214689143.0,794135642.0,2550145092.0
464,26,4,215026134.0,785721216.0,2547285820.0
465,26,5,216847950.0,769949639.0,2586288040.0
466,27,1,216700485.0,768490810.0,2565958612.0
467,27,2,213256100.0,771447398.0,2595739970.0
468,27,3,217165489.0,779077966.0,2571196483.0
469,27,4,213440783.0,807052670.0,2585833125.0
470,27,5,217147234.0,781941792.0,2589782992.0
471,27,6,216317799.0,772334839.0,2604786680.0
472,27,7,217860855.0,778883623.0,2589617124.0
473,27,8,216083860.0,794940382.0,2605404173.0
474,27,9,213591802.0,786226365.0,2581302789.0
475,27,10,215055596.0,787583717.0,2596509506.0
476,27,11,216475693.0,780493925.0,2575781268.0
477,27,12,214942748.0,785945731.0,2571235848.0
478,27,13,216503505.0,794293234.0,2581126753.0
479,27,14,216142583.0,775712689.0,2562208694.0
