idx,device,sample,total_mem (pc),total_mem (orin),total_mem (pi),mem_increment (pc),mem_increment (orin),mem_increment (pi)
518,30,8,20.4,16.8,12.0,0.1,0.0,0.2
519,30,9,20.2,16.7,12.1,0.1,0.0,0.2
520,30,10,20.4,16.9,12.1,0.1,0.0,0.2
521,30,11,20.2,16.8,12.1,0.2,0.0,0.2
522,30,12,20.4,16.7,12.1,0.0,0.0,0.2
523,30,13,20.1,16.7,12.2,0.0,0.0,0.2
524,30,14,20.2,16.7,12.2,0.1,0.0,0.2
525,30,15,20.1,16.9,12.1,0.0,0.0,0.2
526,30,16,20.1,16.8,12.1,0.1,0.0,0.2
527,30,17,20.1,16.9,12.2,0.1,0.0,0.2
528,30,18,20.2,16.9,12.1,0.1,0.0,0.2
529,30,19,20.2,16.9,12.1,0.0,0.0,0.2
530,30,20,20.2,16.8,12.2,0.1,0.0,0.2
531,31,1,20.2,16.8,12.1,0.1,0.0,0.2
532,31,2,20.1,16.7,12.1,0.1,0.0,0.2
533,31,3,20.0,16.9,12.2,0.1,0.0,0.2
534,31,4,20.0,16.7,12.2,0.0,0.0,0.2
535,31,5,20.4,16.9,12.1,0.2,0.0,0.2
536,31,6,20.4,17.1,12.1,0.1,0.0,0.2
537,31,7,20.1,16.7,12.1,0.0,0.0,0.2
538,31,8,20.1,16.9,12.2,0.0,0.0,0.2
539,31,9,20.2,16.9,12.1,0.0,0.0,0.2
540,31,10,20.0,16.7,12.1,0.0,0.0,0.2
541,31,11,20.2,16.7,12.1,0.0,0.0,0.2
542,31,12,20.0,16.8,12.1,0.0,0.0,0.2
543,31,13,20.1,16.9,12.1,0.0,0.0,0.2
544,31,14,20.0,16.7,12.1,0.0,0.0,0.2
545,31,15,20.1,16.9,12.1,0.0,0.0,0.2
546,31,16,20.2,16.7,12.1,0.0,0.0,0.2
547,31,17,20.1,16.7,12.2,0.0,0.0,0.2
548,31,18,20.1,16.7,12.1,0.0,0.0,0.2
549,31,19,20.4,16.7,12.2,0.1,0.0,0.2
550,31,20,20.2,16.8,12.1,0.0,0.0,0.2
