idx,device,sample,cpu_line (pc),cpu_line (orin),cpu_line (pi)
211,12,12,2356788233.0,8892566476.0,30000000000.0
212,12,13,2352387334.0,9190909682.0,30000000000.0
213,12,14,2340414582.0,8959533404.0,30000000000.0
214,12,15,2463893891.0,8988007363.0,30000000000.0
215,12,16,2366936222.0,9007593299.0,30000000000.0
216,12,17,2359147464.0,8925838333.0,30000000000.0
217,12,18,2351396123.0,8962731665.0,30000000000.0
218,12,19,2355915651.0,8995229546.0,30000000000.0
219,12,20,2369260175.0,8967447124.0,30000000000.0
220,12,21,2366694780.0,9035615280.0,30000000000.0
221,13,1,2381806327.0,8998164294.0,30000000000.0
222,13,2,2376040273.0,8962072167.0,30000000000.0
223,13,3,2361701752.0,8983058846.0,30000000000.0
224,13,4,2360149408.0,8967572858.0,30000000000.0
225,13,5,2353944981.0,8973466952.0,30000000000.0
226,13,6,2361813113.0,9004527649.0,30000000000.0
227,13,7,2392839203.0,8985826166.0,30000000000.0
228,13,8,2357180262.0,9034404161.0,30000000000.0
229,13,9,2370703211.0,9034325883.0,30000000000.0
230,13,10,2359460682.0,9004734015.0,30000000000.0
231,13,11,2372410202.0,8930721474.0,30000000000.0
232,13,12,2371225720.0,8814225668.0,30000000000.0
233,13,13,2352039982.0,8901954694.0,30000000000.0
234,13,14,2359919670.0,8997504666.0,30000000000.0
235,13,15,2364764491.0,8962871598.0,30000000000.0
236,13,16,2369098074.0,8993702140.0,30000000000.0
237,13,17,2361913910.0,8987566047.0,30000000000.0
238,13,18,2380633648.0,8946492194.0,30000000000.0
239,13,19,2360923726.0,8926626472.0,30000000000.0
240,13,20,2348190609.0,8952479537.0,30000000000.0
241,14,1,2361971322.0,8984486749.0,30000000000.0
242,14,2,2359667835.0,8977050855.0,30000000000.0
243,14,3,2362811951.0,8923011254.0,30000000000.0
244,14,4,2355847613.0,8955374275.0,30000000000.0
245,14,5,2322544783.0,8958162879.0,30000000000.0
246,14,7,2361855660.0,8959415679.0,30000000000.0
247,14,8,2351838112.0,8932794158.0,30000000000.0
248,14,9,2399996777.0,8939954313.0,30000000000.0
249,14,10,2356295760.0,8961482910.0,30000000000.0
250,14,11,2364993399.0,8926747490.0,30000000000.0
251,14,12,2358684841.0,9017900949.0,30000000000.0
252,15,1,2358690717.0,9067454596.0,30000000000.0
253,15,2,2344721461.0,8940105380.0,30000000000.0
254,15,3,2353530809.0,8922437409.0,30000000000.0
255,15,4,2363783460.0,8916404894.0,30000000000.0
256,15,5,2350423911.0,8986123516.0,30000000000.0
257,15,6,2345927987.0,8962898927.0,30000000000.0
258,15,7,2346776994.0,8940558367.0,30000000000.0
259,15,8,2376553037.0,8904278898.0,30000000000.0
260,15,9,2354109342.0,8925071043.0,30000000000.0
261,16,1,2359696291.0,9028404894.0,30000000000.0
262,16,2,2357319407.0,8948737185.0,30000000000.0
263,16,3,2351196665.0,8975553988.0,30000000000.0
264,16,4,2363774190.0,9007003830.0,30000000000.0
265,16,5,2371332161.0,9058839422.0,30000000000.0
266,16,6,2363456710.0,8957721537.0,30000000000.0
267,16,7,2363096160.0,8999012946.0,30000000000.0
268,16,8,2371128633.0,8998419685.0,30000000000.0
269,16,9,2367264714.0,8966339769.0,30000000000.0
270,16,10,2357309154.0,9021580976.0,30000000000.0
271,16,11,2367718345.0,9009497269.0,30000000000.0
272,16,12,2376583546.0,8712742407.0,30000000000.0
273,16,13,2367453274.0,8869416601.0,30000000000.0
274,16,14,2361055205.0,9042772971.0,30000000000.0
275,16,15,2360621965.0,9012607298.0,30000000000.0
276,16,16,2361194275.0,8885069051.0,30000000000.0
277,16,17,2352343851.0,8959610580.0,30000000000.0
278,16,18,2353573554.0,8943801267.0,30000000000.0
279,16,19,2359001840.0,9076723518.0,30000000000.0
280,16,20,2379337461.0,8986108252.0,30000000000.0
281,17,1,2359675859.0,8949940749.0,30000000000.0
282,17,2,2368052565.0,8964682109.0,30000000000.0
283,17,3,2376709266.0,9000092432.0,30000000000.0
284,17,4,2362458509.0,8892212485.0,30000000000.0
285,17,5,2353322491.0,8943372101.0,30000000000.0
286,17,6,2346442387.0,8951202708.0,30000000000.0
287,17,7,2357716006.0,8936533224.0,30000000000.0
288,17,8,2357024770.0,9061075774.0,30000000000.0
289,17,9,2320689028.0,8951289409.0,30000000000.0
290,17,10,2357611629.0,8982464525.0,30000000000.0
291,17,11,2324361292.0,8903603325.0,30000000000.0
292,17,12,2963345519.0,8753637596.0,30000000000.0
293,17,13,2352962982.0,8927074210.0,30000000000.0
294,17,14,2367700479.0,8962503557.0,30000000000.0
295,17,15,2356805790.0,8763772769.0,30000000000.0
296,17,16,2339862300.0,8814321346.0,30000000000.0
297,17,17,2372940648.0,8721305951.0,30000000000.0
298,17,18,2355449591.0,9035083182.0,30000000000.0
299,17,19,2346826276.0,9251744700.0,30000000000.0
300,17,20,2372959899.0,8876465407.0,30000000000.0
301,18,1,2394900735.0,9043066757.0,30000000000.0
302,18,2,2369214829.0,9114715260.0,30000000000.0
303,18,3,2393036652.0,8994367489.0,30000000000.0
304,18,4,2369533718.0,8983254067.0,30000000000.0
305,18,5,2388452112.0,9086155923.0,30000000000.0
306,18,6,2383135234.0,9086810834.0,30000000000.0
307,18,7,2391310658.0,9095196627.0,30000000000.0
308,18,8,2392476384.0,9101543175.0,30000000000.0
309,18,9,2390643563.0,9044815868.0,30000000000.0
310,18,10,2397655577.0,8953375614.0,30000000000.0
311,18,11,2404610032.0,8977736014.0,30000000000.0
312,18,12,2384051025.0,9061456834.0,30000000000.0
313,18,13,2398454691.0,9026755717.0,30000000000.0
314,18,14,2391150236.0,9013103828.0,30000000000.0
315,18,15,2380866405.0,8779719861.0,30000000000.0
316,18,16,2381506441.0,9003051041.0,30000000000.0
317,18,17,2384005346.0,9008877245.0,30000000000.0
318,18,18,2380904751.0,9109534445.0,30000000000.0
319,18,19,2397476479.0,9052293424.0,30000000000.0
320,18,20,2387658533.0,9061250683.0,30000000000.0
321,19,1,2401908599.0,9082087691.0,30000000000.0
322,19,2,2386619534.0,9051813139.0,30000000000.0
323,19,3,2397335427.0,9074410028.0,30000000000.0
324,19,4,2406293662.0,9207558686.0,30000000000.0
325,19,5,2425306409.0,9208673894.0,30000000000.0
326,19,6,2401970591.0,9200527918.0,30000000000.0
