idx,f1-weight,inference-time-weight,memory-weight,objective-function,number_of_food_sources,number_of_iteration,abc_best_params,abc_best_param_idx,abc_best_fitness,abc_best_f1,abc_best_inference_time,abc_best_memory,abc_iteration_count,opt_params,opt_param_idx,opt_f1,opt_inference_time,opt_memory,f1_diff,f1_diff,memory_diff
33,34,33,33,range-normalized,5,30,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'warm_start': False}",142,0.7517622688969151,0.9661844779,0.9704589844,227.4,287,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.001, 'learning_rate': 'invscaling', 'warm_start': False}",84,0.9610470764,0.9604492188,227.0,0.005137401499999972,0.010009765599999998,0.4000000000000057
34,34,33,33,range-normalized,5,40,"{'hidden_layer_sizes': (50, 150), 'activation': 'identity', 'solver': 'sgd', 'alpha': 0.0001, 'learning_rate': 'constant', 'warm_start': True}",823,0.761199934566886,0.9355912346,1.110351563,228.0,388,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.001, 'learning_rate': 'invscaling', 'warm_start': False}",84,0.9610470764,0.9604492188,227.0,0.025455841799999934,0.14990234420000004,1.0
35,34,33,33,range-normalized,5,50,"{'hidden_layer_sizes': (50, 50, 100), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.01, 'learning_rate': 'invscaling', 'warm_start': False}",2184,0.7551331870426473,0.9687213075,1.383056641,227.9,478,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.001, 'learning_rate': 'invscaling', 'warm_start': False}",84,0.9610470764,0.9604492188,227.0,0.007674231099999984,0.4226074222,0.9000000000000057
36,34,33,33,range-normalized,10,10,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.001, 'learning_rate': 'invscaling', 'warm_start': False}",84,0.7509420594508356,0.9610470764,0.9604492188,227.0,168,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.001, 'learning_rate': 'invscaling', 'warm_start': False}",84,0.9610470764,0.9604492188,227.0,0.0,0.0,0.0
37,34,33,33,range-normalized,10,20,"{'hidden_layer_sizes': (50, 100, 50), 'activation': 'tanh', 'solver': 'adam', 'alpha': 0.01, 'learning_rate': 'constant', 'warm_start': False}",2558,0.7579230559954262,0.9636934363,1.602783203,228.1,328,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.001, 'learning_rate': 'invscaling', 'warm_start': False}",84,0.9610470764,0.9604492188,227.0,0.0026463599000000615,0.6423339842,1.0999999999999943
38,34,33,33,range-normalized,10,30,"{'hidden_layer_sizes': (50, 50, 50), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.01, 'learning_rate': 'constant', 'warm_start': True}",2017,0.7554163400652962,0.9611119154,1.298583984,227.7,477,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.001, 'learning_rate': 'invscaling', 'warm_start': False}",84,0.9610470764,0.9604492188,227.0,6.483899999998322e-05,0.33813476519999996,0.6999999999999886
39,34,33,33,range-normalized,10,40,"{'hidden_layer_sizes': (50, 50), 'activation': 'tanh', 'solver': 'adam', 'alpha': 0.01, 'learning_rate': 'constant', 'warm_start': False}",614,0.7543334318205,0.9598183679,1.188232422,227.5,601,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.001, 'learning_rate': 'invscaling', 'warm_start': False}",84,0.9610470764,0.9604492188,227.0,0.0012287085000000086,0.2277832032,0.5
40,34,33,33,range-normalized,10,50,"{'hidden_layer_sizes': (100, 100, 100), 'activation': 'identity', 'solver': 'sgd', 'alpha': 0.01, 'learning_rate': 'constant', 'warm_start': False}",4052,0.7570478349463732,0.9560975367,1.341308594,227.8,819,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.001, 'learning_rate': 'invscaling', 'warm_start': False}",84,0.9610470764,0.9604492188,227.0,0.004949539700000005,0.3808593752,0.8000000000000114
41,34,33,33,range-normalized,15,10,"{'hidden_layer_sizes': (50,), 'activation': 'identity', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'warm_start': True}",33,0.7554562167301585,0.9624934619,0.9165039063,228.1,220,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.001, 'learning_rate': 'invscaling', 'warm_start': False}",84,0.9610470764,0.9604492188,227.0,0.0014463854999999803,0.0439453125,1.0999999999999943
42,34,33,33,range-normalized,15,20,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'constant', 'warm_start': True}",139,0.751851474653589,0.9636430255,0.9794921875,227.3,425,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.001, 'learning_rate': 'invscaling', 'warm_start': False}",84,0.9610470764,0.9604492188,227.0,0.00259594910000005,0.019042968699999996,0.30000000000001137
43,34,33,33,range-normalized,15,30,"{'hidden_layer_sizes': (100, 150, 100), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.01, 'learning_rate': 'constant', 'warm_start': True}",4609,0.7565730514888963,0.9674264335,1.9140625,227.7,656,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.001, 'learning_rate': 'invscaling', 'warm_start': False}",84,0.9610470764,0.9604492188,227.0,0.006379357100000038,0.9536132812,0.6999999999999886
44,34,33,33,range-normalized,15,40,"{'hidden_layer_sizes': (50,), 'activation': 'identity', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'invscaling', 'warm_start': True}",35,0.7551983098035423,0.9546551237,0.9140625,227.7,839,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.001, 'learning_rate': 'invscaling', 'warm_start': False}",84,0.9610470764,0.9604492188,227.0,0.0063919526999999254,0.046386718800000004,0.6999999999999886
45,34,33,33,range-normalized,15,50,"{'hidden_layer_sizes': (50, 50), 'activation': 'tanh', 'solver': 'adam', 'alpha': 0.01, 'learning_rate': 'constant', 'warm_start': False}",614,0.7543334318205,0.9598183679,1.188232422,227.5,1035,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.001, 'learning_rate': 'invscaling', 'warm_start': False}",84,0.9610470764,0.9604492188,227.0,0.0012287085000000086,0.2277832032,0.5
46,34,33,33,range-normalized,20,10,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'warm_start': False}",142,0.7517622688969151,0.9661844779,0.9704589844,227.4,284,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.001, 'learning_rate': 'invscaling', 'warm_start': False}",84,0.9610470764,0.9604492188,227.0,0.005137401499999972,0.010009765599999998,0.4000000000000057
47,34,33,33,range-normalized,20,20,"{'hidden_layer_sizes': (50, 100, 100), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.001, 'learning_rate': 'adaptive', 'warm_start': False}",2674,0.7554090767144269,0.9663265674,1.5625,227.7,526,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.001, 'learning_rate': 'invscaling', 'warm_start': False}",84,0.9610470764,0.9604492188,227.0,0.005279491000000025,0.6020507812,0.6999999999999886
48,34,33,33,range-normalized,20,30,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.001, 'learning_rate': 'invscaling', 'warm_start': False}",84,0.7509420594508356,0.9610470764,0.9604492188,227.0,794,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.001, 'learning_rate': 'invscaling', 'warm_start': False}",84,0.9610470764,0.9604492188,227.0,0.0,0.0,0.0
49,34,33,33,range-normalized,20,40,"{'hidden_layer_sizes': (100,), 'activation': 'tanh', 'solver': 'adam', 'alpha': 0.001, 'learning_rate': 'adaptive', 'warm_start': True}",297,0.7522569358449573,0.9700018141,1.176269531,227.5,1057,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.001, 'learning_rate': 'invscaling', 'warm_start': False}",84,0.9610470764,0.9604492188,227.0,0.008954737699999993,0.21582031219999998,0.5
50,34,33,33,range-normalized,20,50,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'warm_start': False}",142,0.7517622688969151,0.9661844779,0.9704589844,227.4,1327,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.001, 'learning_rate': 'invscaling', 'warm_start': False}",84,0.9610470764,0.9604492188,227.0,0.005137401499999972,0.010009765599999998,0.4000000000000057
