,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,idx,no_of_layers,l1,l2,l3,activation,solver,learning_rate,alpha,warm_start,precision,recall,f1,training time (ms),inference time (ms)
49,49,1,50,0,0,identity,lbfgs,constant,0.0001,True,0.9547363049449057,0.95375,0.9535047057015469,18323.118896484375,22.781494140625
50,50,1,50,0,0,identity,lbfgs,constant,0.0001,False,0.9517120588787585,0.95125,0.9507403859747534,18572.60888671875,22.94921875
51,51,1,50,0,0,identity,lbfgs,adaptive,0.0001,True,0.9538386252954808,0.9525,0.9520267696465207,18311.282470703125,22.509033203125
52,52,1,50,0,0,identity,lbfgs,adaptive,0.0001,False,0.9511132114564513,0.95,0.9497192431837485,18121.32861328125,22.51708984375
53,53,1,50,0,0,identity,lbfgs,invscaling,0.0001,True,0.9446146074812704,0.9425,0.9422934985589699,18883.11376953125,22.520751953125
54,54,1,50,0,0,identity,lbfgs,invscaling,0.0001,False,0.962178314090836,0.96125,0.9610499303456576,18806.646728515625,22.27490234375
55,55,1,50,0,0,relu,sgd,constant,0.01,True,0.9228670060756538,0.92125,0.9191314208161839,30089.309326171875,23.4609375
56,56,1,50,0,0,relu,sgd,constant,0.01,False,0.9185870316144835,0.91625,0.9157110841488784,30281.58349609375,23.353759765625
57,57,1,50,0,0,relu,sgd,adaptive,0.01,True,0.9198828375574412,0.915,0.9144166624225499,30057.897216796875,23.391357421875
58,58,1,50,0,0,relu,sgd,adaptive,0.01,False,0.9156631967381935,0.91125,0.9094902866407799,30037.64453125,23.704345703125
59,59,1,50,0,0,relu,sgd,invscaling,0.01,True,0.1620834311470457,0.15625,0.12141114831457761,30070.003662109375,23.5068359375
60,60,1,50,0,0,relu,sgd,invscaling,0.01,False,0.07555100835830816,0.14375,0.08153266098894915,30121.748046875,23.3173828125
61,61,1,50,0,0,relu,sgd,constant,0.001,True,0.9098670543241437,0.9075,0.9062677318763437,30087.322509765625,23.34765625
62,62,1,50,0,0,relu,sgd,constant,0.001,False,0.9056753691438734,0.90375,0.9025088805068401,29912.220458984375,23.43017578125
63,63,1,50,0,0,relu,sgd,adaptive,0.001,True,0.921480425542329,0.91625,0.9148976513687049,30109.015869140625,23.4208984375
64,64,1,50,0,0,relu,sgd,adaptive,0.001,False,0.9144840713672268,0.91125,0.9098489254372187,30068.084228515625,23.41845703125
65,65,1,50,0,0,relu,sgd,invscaling,0.001,True,0.0683678616008709,0.10125,0.07371864552086774,30058.9462890625,23.468994140625
66,66,1,50,0,0,relu,sgd,invscaling,0.001,False,0.14594078562695978,0.18625,0.14156265186355138,30058.8984375,23.292236328125
67,67,1,50,0,0,relu,sgd,constant,0.0001,True,0.9080324407111136,0.905,0.903723268049186,30031.40185546875,23.433837890625
68,68,1,50,0,0,relu,sgd,constant,0.0001,False,0.913833894252972,0.91125,0.909976142591953,30137.67529296875,23.396484375
69,69,1,50,0,0,relu,sgd,adaptive,0.0001,True,0.9104201237285316,0.905,0.9042079765534777,30197.632568359375,23.846435546875
70,70,1,50,0,0,relu,sgd,adaptive,0.0001,False,0.9168487875904568,0.915,0.9141555884504383,30246.24658203125,23.80712890625
71,71,1,50,0,0,relu,sgd,invscaling,0.0001,True,0.16870574219260073,0.15375,0.13930301988021435,30123.147216796875,23.47900390625
72,72,1,50,0,0,relu,sgd,invscaling,0.0001,False,0.1396439539320782,0.13625,0.08827479227149565,30101.375244140625,23.4755859375
73,73,1,50,0,0,relu,adam,constant,0.01,True,0.9635294973718936,0.9625,0.962351965711286,33081.482666015625,23.569580078125
74,74,1,50,0,0,relu,adam,constant,0.01,False,0.9587628390504848,0.9575,0.9571362298299881,33014.60009765625,23.463623046875
75,75,1,50,0,0,relu,adam,adaptive,0.01,True,0.9607100608891066,0.96,0.9597445201779421,33239.689697265625,23.8701171875
76,76,1,50,0,0,relu,adam,adaptive,0.01,False,0.9625225424475439,0.96125,0.9611561447749909,33027.454345703125,23.509033203125
77,77,1,50,0,0,relu,adam,invscaling,0.01,True,0.9682327722699995,0.9675,0.967449454501528,33099.961669921875,23.37060546875
78,78,1,50,0,0,relu,adam,invscaling,0.01,False,0.9696100918485384,0.96875,0.9685755319295458,33087.439208984375,23.637451171875
79,79,1,50,0,0,relu,adam,constant,0.001,True,0.9631289805760279,0.9625,0.962160268839993,33101.437255859375,23.4736328125
80,80,1,50,0,0,relu,adam,constant,0.001,False,0.9658136770545344,0.965,0.9648912268759424,34117.4326171875,23.425048828125
81,81,1,50,0,0,relu,adam,adaptive,0.001,True,0.9623329393403206,0.96125,0.9610380924207412,33036.08349609375,23.53564453125
82,82,1,50,0,0,relu,adam,adaptive,0.001,False,0.9593431954116202,0.9575,0.9573954809333123,32981.07568359375,23.439208984375
83,83,1,50,0,0,relu,adam,invscaling,0.001,True,0.9654338993058507,0.96375,0.96356447805451,33155.692138671875,23.43408203125
84,84,1,50,0,0,relu,adam,invscaling,0.001,False,0.9667891195956396,0.96625,0.9660888534256101,33492.4599609375,23.34423828125
85,85,1,50,0,0,relu,adam,constant,0.0001,True,0.9598986880694198,0.95875,0.9585625944984986,33100.14453125,23.5693359375
86,86,1,50,0,0,relu,adam,constant,0.0001,False,0.968223107687164,0.9675,0.9674157938825532,33158.432373046875,23.479736328125
87,87,1,50,0,0,relu,adam,adaptive,0.0001,True,0.9674966208560261,0.96625,0.9661451733946578,33215.734130859375,23.470947265625
88,88,1,50,0,0,relu,adam,adaptive,0.0001,False,0.9670649178880886,0.96625,0.9661446574087538,33342.57470703125,23.439697265625
89,89,1,50,0,0,relu,adam,invscaling,0.0001,True,0.9626364330665056,0.96125,0.9611035474174595,33211.160888671875,23.4453125
90,90,1,50,0,0,relu,adam,invscaling,0.0001,False,0.9621983502808278,0.96125,0.9611034028537842,33378.848388671875,23.4580078125
91,91,1,50,0,0,relu,lbfgs,constant,0.01,True,0.9602494323114078,0.96,0.9598063505237804,20322.30517578125,23.412841796875
92,92,1,50,0,0,relu,lbfgs,constant,0.01,False,0.9733202521697386,0.9725,0.9724339327299344,19928.165771484375,23.327880859375
93,93,1,50,0,0,relu,lbfgs,adaptive,0.01,True,0.9703690832349368,0.97,0.9699077025661876,19727.859619140625,23.345947265625
94,94,1,50,0,0,relu,lbfgs,adaptive,0.01,False,0.9670121870571535,0.96625,0.966115578238866,19902.03955078125,23.404296875
95,95,1,50,0,0,relu,lbfgs,invscaling,0.01,True,0.9746707414823591,0.97375,0.9738065548658793,19950.163818359375,24.12890625
96,96,1,50,0,0,relu,lbfgs,invscaling,0.01,False,0.9644945448010648,0.96375,0.9634873175219748,20788.9248046875,23.387451171875
97,97,1,50,0,0,relu,lbfgs,constant,0.001,True,0.9600618196340944,0.96,0.9596589054806983,20365.65771484375,23.651611328125
98,98,1,50,0,0,relu,lbfgs,constant,0.001,False,0.9635513800594708,0.9625,0.9623780091138471,20173.789306640625,23.320068359375
99,99,1,50,0,0,relu,lbfgs,adaptive,0.001,True,0.9670891400288062,0.96625,0.9661303740530868,20280.147705078125,23.463623046875
100,100,1,50,0,0,relu,lbfgs,adaptive,0.001,False,0.9620138602126169,0.96125,0.9610779130150753,19517.66845703125,23.56396484375
101,101,1,50,0,0,relu,lbfgs,invscaling,0.001,True,0.9619115437344309,0.96125,0.9611646903313583,20928.527587890625,23.646240234375
102,102,1,50,0,0,relu,lbfgs,invscaling,0.001,False,0.9589183144600046,0.9575,0.957044510426146,19867.103515625,23.644775390625
103,103,1,50,0,0,relu,lbfgs,constant,0.0001,True,0.9605092401528276,0.96,0.9599510094368674,20074.9365234375,23.3671875
