idx,train(cpu_line)(nano sec),test(cpu_line)(nano sec),train(mem)(MiB),test(mem)(MiB),total_addr_space(mem)(MiB)
272,4859531176.0,4687976.0,16.5,0.0,163.1
273,4910647188.0,4649224.0,14.5,0.0,159.4
274,4873316752.0,4713416.0,10.3,0.0,162.5
275,4964786564.0,4663048.0,12.6,0.0,159.7
276,4863823707.0,4724872.0,16.5,0.0,166.5
277,5026201544.0,4731304.0,14.5,0.0,161.4
278,4897821752.0,4645895.0,14.5,0.0,162.0
279,4857595066.0,4641448.0,8.5,0.0,162.3
280,4887891699.0,4746856.0,10.4,0.0,161.4
281,4900199599.0,4578983.0,36.6,0.0,174.9
282,4918027349.0,4617959.0,14.5,0.0,159.7
283,4936392702.0,4672295.0,12.6,0.0,157.7
284,4841176753.0,5341833.0,10.4,0.0,152.3
285,4926628264.0,4698888.0,18.5,0.0,164.4
286,4924721332.0,4636136.0,8.3,0.0,157.5
287,4851681007.0,4652967.0,14.6,0.0,161.4
288,4897771850.0,4736071.0,16.0,0.5,161.9
289,5558961274.0,4677159.0,14.7,0.0,165.9
290,5642550192.0,4727207.0,10.5,2.0,157.2
291,5584193636.0,4795911.0,18.5,2.0,165.2
292,5551447266.0,4587207.0,14.5,0.0,160.2
293,5619567106.0,4652488.0,10.5,0.0,157.5
294,5556962131.0,4670920.0,14.4,2.0,159.2
295,5644361395.0,4671303.0,12.5,0.0,163.1
296,5641132708.0,5778825.0,10.5,0.0,155.2
297,5566024004.0,4638439.0,10.5,0.0,162.7
298,5597530605.0,4713448.0,10.7,22.0,175.4
299,5573943968.0,4589543.0,10.4,0.0,154.5
300,5665923016.0,4745768.0,12.5,12.0,164.3
301,5699753655.0,4693383.0,16.1,0.6,161.2
302,5633422152.0,4691592.0,18.5,0.0,162.3
303,5603887699.0,4615464.0,14.5,0.0,158.1
304,5612076922.0,4668712.0,12.4,0.0,155.8
305,5591665941.0,4665287.0,18.4,0.0,164.7
306,5563857508.0,4634247.0,12.5,0.0,161.0
307,1723420776.0,4673032.0,44.3,0.0,190.6
308,1403504466.0,4634600.0,19.9,0.0,171.0
309,3493756446.0,4654743.0,44.3,0.0,187.6
310,2722354646.0,4687357.0,22.6,0.0,170.6
311,2414363352.0,4676645.0,19.8,0.0,163.0
312,2120397313.0,4644363.0,43.8,0.0,183.8
313,1323582506.0,4664753.0,20.4,0.0,166.8
314,1758335716.0,4658006.0,30.2,0.0,176.7
315,1305182374.0,4676123.0,19.9,0.0,164.0
316,1779111847.0,4663391.0,24.6,0.0,173.4
