idx,train(cpu_line)(nano sec),test(cpu_line)(nano sec),train(mem)(MiB),test(mem)(MiB),total_addr_space(mem)(MiB)
1156,4e+10,33133447.0,0.1,0.5,122.4
1157,4e+10,33186051.0,0.4,0.0,122.3
1158,3e+10,31272969.0,0.2,0.3,122.3
1159,4e+10,31268646.0,0.2,0.2,122.2
1160,3e+10,33196312.0,0.1,0.5,122.1
1161,4e+10,31075988.0,0.1,0.5,122.1
1162,4e+10,32577559.0,0.1,0.4,121.9
1163,3e+10,33121468.0,0.1,0.4,122.3
1164,5e+10,33470011.0,0.4,0.0,122.2
1165,4e+10,29925046.0,0.1,0.5,122.2
1166,4e+10,33149801.0,0.1,0.4,122.1
1167,3e+10,33036832.0,0.1,0.5,122.3
1168,5e+10,29898848.0,0.1,0.6,122.4
1169,3e+10,33355688.0,0.1,0.5,122.1
1170,3e+10,29668534.0,0.1,0.6,122.1
1171,3e+10,32986936.0,16.1,0.0,137.9
1172,3e+10,30717393.0,16.2,0.0,138.0
1173,3e+10,32704486.0,16.1,0.0,137.8
1174,3e+10,34264286.0,16.1,0.0,137.8
1175,3e+10,29539262.0,14.9,0.0,136.3
1176,3e+10,33200896.0,14.9,0.0,136.4
1177,3e+10,30549788.0,16.2,0.0,137.9
1178,3e+10,30910571.0,16.1,0.0,137.6
1179,3e+10,32871518.0,16.1,0.0,137.6
1180,3e+10,32584329.0,16.2,0.0,138.0
1181,3e+10,32536569.0,15.0,0.0,136.4
1182,3e+10,36815914.0,15.0,0.0,136.6
1183,3e+10,32800685.0,13.6,0.0,135.4
1184,3e+10,33171103.0,13.7,0.0,135.1
1185,3e+10,32829696.0,13.6,0.0,135.1
1186,3e+10,30889217.0,13.6,0.0,135.3
1187,3e+10,32738185.0,15.0,0.0,136.6
1188,3e+10,32930582.0,15.0,0.0,136.6
1189,5e+10,37293780.0,0.1,0.5,122.2
1190,5e+10,35449188.0,0.1,0.5,122.3
1191,5e+10,36940132.0,0.1,0.5,122.3
1192,5e+10,35797158.0,0.1,0.5,122.3
1193,5e+10,37684355.0,0.1,0.5,122.2
1194,5e+10,37575813.0,0.1,0.5,122.4
1195,5e+10,35197103.0,0.1,0.6,122.1
1196,5e+10,37339978.0,0.1,0.5,122.3
1197,5e+10,37402479.0,0.1,0.4,122.0
1198,5e+10,37415395.0,0.1,0.5,122.3
1199,5e+10,37494719.0,0.1,0.6,122.1
1200,5e+10,37728574.0,0.1,0.6,122.3
1201,5e+10,35113457.0,0.1,0.5,122.3
1202,5e+10,33567460.0,0.1,0.6,122.0
1203,5e+10,37635918.0,0.1,0.6,122.0
1204,5e+10,33761366.0,0.1,0.6,122.0
1205,5e+10,35324500.0,0.1,0.5,122.0
1206,5e+10,37726908.0,0.1,0.6,122.1
1207,5e+10,37549667.0,0.1,0.6,122.2
1208,5e+10,37238363.0,0.1,0.5,122.4
1209,5e+10,35870909.0,0.1,0.5,122.0
1210,5e+10,34823456.0,0.1,0.6,122.4
1211,4e+10,33040061.0,0.1,0.5,122.2
1212,5e+10,33228396.0,0.1,0.5,122.4
1213,5e+10,35221218.0,0.1,0.5,122.4
1214,5e+10,42161201.0,0.1,0.4,122.1
1215,4e+10,37262999.0,0.1,0.4,122.1
1216,4e+10,33144697.0,0.1,0.5,122.3
1217,4e+10,37367010.0,0.1,0.4,122.0
1218,5e+10,33519699.0,0.1,0.5,122.3
1219,5e+10,34900748.0,0.1,0.5,122.4
1220,5e+10,35138718.0,0.1,0.5,122.3
1221,5e+10,37270550.0,0.1,0.5,122.3
1222,4e+10,34747049.0,0.1,0.5,122.0
1223,5e+10,33504699.0,0.1,0.5,122.0
1224,5e+10,34903352.0,0.1,0.4,122.0
1225,4e+10,37098259.0,15.0,0.0,136.6
1226,4e+10,36954560.0,14.9,0.0,136.4
1227,3e+10,36903726.0,14.9,0.0,136.5
1228,3e+10,36569922.0,15.0,0.0,136.4
1229,3e+10,36542110.0,14.9,0.0,136.5
1230,4e+10,36717580.0,14.9,0.0,136.3
1231,3e+10,36480704.0,14.9,0.0,136.4
1232,4e+10,37124404.0,15.0,0.0,136.6
1233,3e+10,34414547.0,14.9,0.0,136.5
1234,3e+10,36616589.0,14.9,0.0,136.3
1235,3e+10,36963309.0,14.9,0.0,136.6
1236,4e+10,34425328.0,14.8,0.0,136.4
1237,3e+10,36636120.0,16.0,0.0,137.7
1238,3e+10,36841382.0,16.1,0.0,137.9
1239,3e+10,36788621.0,16.0,0.0,137.5
1240,3e+10,37035654.0,16.1,0.0,137.6
1241,3e+10,36726954.0,15.0,0.0,136.7
1242,3e+10,36995237.0,14.9,0.0,136.7
1243,6e+10,78847269.0,0.1,0.5,122.3
1244,6e+10,90378004.0,0.1,0.5,122.2
1245,6e+10,79428991.0,0.1,0.5,122.4
1246,6e+10,78898051.0,0.1,0.5,122.2
1247,6e+10,86641944.0,0.1,0.5,122.1
1248,6e+10,78254454.0,0.1,0.5,122.2
1249,6e+10,86321526.0,0.1,0.5,122.2
1250,6e+10,90463630.0,0.1,0.5,122.3
1251,6e+10,78914718.0,0.1,0.4,122.1
1252,6e+10,78606747.0,0.1,0.5,122.1
1253,6e+10,75407461.0,0.1,0.5,122.0
1254,6e+10,85671730.0,0.1,0.6,122.0
1255,6e+10,86177566.0,0.1,0.6,122.1
1256,6e+10,83767867.0,0.1,0.6,122.1
1257,6e+10,81931035.0,0.1,0.5,122.2
1258,6e+10,83495991.0,0.1,0.5,122.2
1259,6e+10,82584788.0,0.1,0.5,122.0
1260,6e+10,75413658.0,0.1,0.5,122.2
1261,7e+10,93077184.0,0.1,0.5,122.1
1262,7e+10,80012432.0,0.1,0.5,122.4
1263,7e+10,89241697.0,0.1,0.6,122.1
1264,7e+10,85802148.0,0.1,0.5,122.3
1265,7e+10,89638469.0,0.1,0.5,122.3
1266,7e+10,86838247.0,0.1,0.5,122.0
1267,7e+10,92606817.0,0.1,0.4,122.1
1268,7e+10,91457488.0,0.1,0.5,122.0
1269,7e+10,90448056.0,0.1,0.5,122.1
1270,7e+10,92691765.0,0.1,0.5,122.4
1271,7e+10,89501489.0,0.1,0.5,122.1
1272,7e+10,92665672.0,0.1,0.5,122.4
1273,7e+10,91838740.0,0.1,0.5,122.0
1274,7e+10,81977285.0,0.1,0.5,122.1
1275,7e+10,83058853.0,0.1,0.5,122.0
1276,7e+10,92780412.0,0.1,0.5,122.3
1277,7e+10,83764325.0,0.1,0.5,122.1
1278,7e+10,80643216.0,0.1,0.5,122.2
1279,3e+10,88739819.0,17.3,0.0,138.8
1280,5e+10,92482077.0,17.3,0.0,139.0
1281,6e+10,92613172.0,17.3,0.0,139.0
1282,6e+10,86895904.0,17.3,0.0,139.0
1283,4e+10,83361146.0,18.5,0.0,140.1
1284,4e+10,80113474.0,18.6,0.0,140.3
1285,3e+10,92526453.0,17.3,0.0,139.0
1286,4e+10,92451712.0,17.4,0.0,139.2
1287,4e+10,92652390.0,17.4,0.0,139.1
1288,3e+10,85583709.0,17.3,0.0,139.1
1289,3e+10,85324958.0,18.4,0.0,140.0
1290,5e+10,91884938.0,18.6,0.0,139.9
1291,3e+10,82836925.0,18.6,0.0,140.0
1292,3e+10,87981065.0,18.6,0.0,140.0
1293,4e+10,92615307.0,18.5,0.0,140.0
1294,3e+10,85090790.0,18.5,0.0,140.1
