idx,no_of_layers,l1,l2,l3,activation,solver,learning_rate,alpha,warm_start,precision,recall,f1,training time (ms),inference time (ms),train(cpu_line)(nano sec),test(cpu_line)(nano sec),train(mem)(MiB),test(mem)(MiB),total_addr_space(mem)(MiB)
1302,3,50,100,50,identity,sgd,invscaling,0.01,False,0.3150570909,0.25625,0.1993569818,1847.579102,1.15625,1206221069,949734,0.8,0.0,228.2
1303,3,50,100,50,identity,sgd,constant,0.001,True,0.9368391019,0.93375,0.9325235016,1818.195313,1.154296875,1214200182,930672,0.6,0.2,228.3
1304,3,50,100,50,identity,sgd,constant,0.001,False,0.9429415626,0.9375,0.9365706566,1820.769775,1.118164063,1216956134,933892,0.8,0.0,227.7
1305,3,50,100,50,identity,sgd,adaptive,0.001,True,0.9450301114,0.9425,0.9419545187,1826.917725,1.155273438,1217419232,923199,0.6,0.0,228.6
1306,3,50,100,50,identity,sgd,adaptive,0.001,False,0.9421944513,0.93625,0.9354515078,1819.12793,1.15625,1216930291,914738,0.6,0.6,228.1
1307,3,50,100,50,identity,sgd,invscaling,0.001,True,0.2761683002,0.31875,0.2706510599,1824.723633,1.159423828,1220594883,949124,0.8,0.0,228.3
1308,3,50,100,50,identity,sgd,invscaling,0.001,False,0.2786974397,0.285,0.2508626996,1820.952393,1.147460938,1305344793,949315,0.9,0.0,228.2
1309,3,50,100,50,identity,sgd,constant,0.0001,True,0.9440845465,0.94125,0.9407395366,1822.921143,1.149902344,1262633578,923529,0.8,0.2,227.9
1310,3,50,100,50,identity,sgd,constant,0.0001,False,0.9474039122,0.945,0.9445177577,1845.084717,1.124023438,1218440837,929512,0.6,0.2,228.4
1311,3,50,100,50,identity,sgd,adaptive,0.0001,True,0.9380720163,0.93625,0.9355890589,1820.620605,1.159423828,1204619737,932571,0.6,0.0,228.1
1312,3,50,100,50,identity,sgd,adaptive,0.0001,False,0.9460687425,0.9425,0.941604494,1824.736572,1.124755859,1211522025,910452,0.8,0.0,227.7
