idx,no_of_layers,l1,l2,l3,activation,solver,learning_rate,alpha,warm_start,precision,recall,f1,training time (ms),inference time (ms),train(cpu_line)(nano sec),test(cpu_line)(nano sec),train(mem)(MiB),test(mem)(MiB),total_addr_space(mem)(MiB)
1927,3,100,50,100,tanh,lbfgs,constant,0.01,TRUE,0.9652376485,0.965,0.9649944391,74900.45801,117.6640625,8.00E+10,119511495,26.6,0,177.8
1988,3,100,100,50,identity,lbfgs,constant,0.001,FALSE,0.956797342,0.95625,0.9560472372,45376.32642,43.78369141,5.00E+10,44696207,26.2,0,177.8
1932,3,100,50,100,tanh,lbfgs,invscaling,0.01,FALSE,0.9691058376,0.96875,0.9686912814,56219.69434,118.0561523,6.00E+10,119992461,26.1,0,177.7
1939,3,100,50,100,tanh,lbfgs,constant,0.0001,TRUE,0.9693641816,0.96875,0.9688182994,47939.11475,118.0283203,4.00E+10,119567653,26.2,0,177.6
1944,3,100,50,100,tanh,lbfgs,invscaling,0.0001,FALSE,0.9631243553,0.9625,0.962272707,37254.88403,118.3703613,5.00E+10,119675921,26.2,0,177.6
1996,3,100,100,50,identity,lbfgs,adaptive,0.0001,FALSE,0.961755199,0.96125,0.9611289169,46132.86108,44.42651367,5.00E+10,44817241,25.8,0,177.5
1938,3,100,50,100,tanh,lbfgs,invscaling,0.001,FALSE,0.9559953549,0.955,0.9548517082,77313.86353,117.7280273,5.00E+10,119239559,26,0,177.4
1940,3,100,50,100,tanh,lbfgs,constant,0.0001,FALSE,0.9643112883,0.96375,0.963834173,77246.32593,118.3212891,8.00E+10,122247715,26.3,0,177.3
2038,3,100,100,50,relu,lbfgs,adaptive,0.01,FALSE,0.961703573,0.96125,0.9611095593,53428.43262,49.10180664,5.00E+10,49827610,25.4,0,177.2
2050,3,100,100,50,relu,lbfgs,adaptive,0.0001,FALSE,0.9631538373,0.9625,0.9625017167,53588.75244,48.86791992,5.00E+10,50286428,25.5,0,177.1
1992,3,100,100,50,identity,lbfgs,invscaling,0.001,FALSE,0.9619259919,0.96125,0.9611990159,44917.07324,44.40576172,5.00E+10,45255393,25.7,0,177.1
2045,3,100,100,50,relu,lbfgs,invscaling,0.001,TRUE,0.9595932807,0.95875,0.9587075306,53312.19702,49.22509766,6.00E+10,31176210,25.3,0,177.1
2039,3,100,100,50,relu,lbfgs,invscaling,0.01,TRUE,0.9671764085,0.96625,0.9661737743,54361.3208,49.14697266,6.00E+10,50175975,25.5,0,177
2105,3,100,100,50,tanh,lbfgs,invscaling,0.0001,TRUE,0.9680949366,0.9675,0.9674841519,86744.74658,119.8930664,7.00E+10,121363930,25.4,0,176.9
2036,3,100,100,50,relu,lbfgs,constant,0.01,FALSE,0.9653600256,0.965,0.9649402344,53314.98999,49.19067383,6.00E+10,50722652,25.3,0,176.9
2046,3,100,100,50,relu,lbfgs,invscaling,0.001,FALSE,0.9643169084,0.96375,0.9637835691,54410.86963,48.73291016,6.00E+10,50131914,25.4,0,176.9
1985,3,100,100,50,identity,lbfgs,invscaling,0.01,TRUE,0.952798191,0.95125,0.9512213767,44924.15259,44.22167969,5.00E+10,45258670,24.9,0,176.9
1941,3,100,50,100,tanh,lbfgs,adaptive,0.0001,TRUE,0.9715614123,0.97125,0.9712271695,52637.59326,118.2827148,7.00E+10,65955548,25,0,176.8
2048,3,100,100,50,relu,lbfgs,constant,0.0001,FALSE,0.9691976478,0.96875,0.9687057048,53109.36084,48.89624023,6.00E+10,49818245,25.7,0,176.8
1989,3,100,100,50,identity,lbfgs,adaptive,0.001,TRUE,0.9569864165,0.95625,0.9561676811,44988.98804,44.44677734,5.00E+10,45248205,25.4,0,176.8
1984,3,100,100,50,identity,lbfgs,adaptive,0.01,FALSE,0.9565412086,0.955,0.9551107395,45320.10034,43.6953125,5.00E+10,45328931,25.4,0,176.8
2102,3,100,100,50,tanh,lbfgs,constant,0.0001,FALSE,0.9706611741,0.97,0.9700812056,57962.39404,120.0683594,7.00E+10,120778021,25.3,0,176.6
2103,3,100,100,50,tanh,lbfgs,adaptive,0.0001,TRUE,0.9650589419,0.965,0.9648824013,89092.91479,119.6826172,6.00E+10,120944335,25.2,0,176.6
1993,3,100,100,50,identity,lbfgs,constant,0.0001,TRUE,0.9633878585,0.9625,0.9624094229,45993.97168,43.86914063,5.00E+10,45154652,25.3,0,176.6
1995,3,100,100,50,identity,lbfgs,adaptive,0.0001,TRUE,0.9600514318,0.95875,0.9585782161,45068.80005,44.02954102,5.00E+10,45145630,25.5,0,176.6
1931,3,100,50,100,tanh,lbfgs,invscaling,0.01,TRUE,0.958202664,0.9575,0.9572185726,60439.59106,117.8547363,7.00E+10,119147628,25.7,0,176.6
2052,3,100,100,50,relu,lbfgs,invscaling,0.0001,FALSE,0.9686157825,0.9675,0.9674787351,52999.41602,49.68945313,5.00E+10,50283705,24.8,0,176.5
2043,3,100,100,50,relu,lbfgs,adaptive,0.001,TRUE,0.9646067523,0.96375,0.9638094701,53896.91064,48.77197266,5.00E+10,51867253,25.3,0,176.5
2035,3,100,100,50,relu,lbfgs,constant,0.01,TRUE,0.9632294526,0.9625,0.962465862,53207.49121,49.86914063,6.00E+10,50340562,25.3,0,176.5
2040,3,100,100,50,relu,lbfgs,invscaling,0.01,FALSE,0.9617611906,0.96125,0.9612204786,55764.3103,49.90478516,6.00E+10,50391745,25.3,0,176.5
1981,3,100,100,50,identity,lbfgs,constant,0.01,TRUE,0.959485653,0.95875,0.9586466046,47067.60767,43.81079102,5.00E+10,44854820,25,0,176.5
1994,3,100,100,50,identity,lbfgs,constant,0.0001,FALSE,0.9656258336,0.965,0.9649308856,46428.16064,44.08007813,5.00E+10,44817353,25.3,0,176.4
2049,3,100,100,50,relu,lbfgs,adaptive,0.0001,TRUE,0.9714258206,0.97125,0.9711129715,53249.61572,49.85424805,6.00E+10,50432595,24.9,0,176.3
