idx,f1-weight,inference-time-weight,memory-weight,objective-function,number_of_particle,number_of_iteration,pso_best_params,pso_best_param_idx,pso_best_fitness,pso_best_f1,pso_best_inference_time,pso_best_memory,pso_iteration_count,opt_params,opt_param_idx,opt_f1,opt_inference_time,opt_memory,f1_diff,f1_diff,memory_diff
33,34,33,33,range-normalized,5,30,"{'hidden_layer_sizes': (50, 150, 50), 'activation': 'identity', 'solver': 'sgd', 'alpha': 0.0001, 'learning_rate': 'constant', 'warm_start': True}",2929,0.7595270519939266,0.9344750739,1.211914063,227.5,186,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.001, 'learning_rate': 'invscaling', 'warm_start': False}",84,0.9610470764,0.9604492188,227.0,0.026572002500000025,0.25146484420000004,0.5
34,34,33,33,range-normalized,5,40,"{'hidden_layer_sizes': (150, 150, 150), 'activation': 'identity', 'solver': 'sgd', 'alpha': 0.0001, 'learning_rate': 'constant', 'warm_start': True}",6169,0.7637998995467001,0.9521848953,2.026611328,228.5,246,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.001, 'learning_rate': 'invscaling', 'warm_start': False}",84,0.9610470764,0.9604492188,227.0,0.008862181100000033,1.0661621092,1.5
35,34,33,33,range-normalized,5,50,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'constant', 'warm_start': True}",139,0.751851474653589,0.9636430255,0.9794921875,227.3,306,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.001, 'learning_rate': 'invscaling', 'warm_start': False}",84,0.9610470764,0.9604492188,227.0,0.00259594910000005,0.019042968699999996,0.30000000000001137
36,34,33,33,range-normalized,10,10,"{'hidden_layer_sizes': (50,), 'activation': 'identity', 'solver': 'adam', 'alpha': 0.01, 'learning_rate': 'constant', 'warm_start': True}",19,0.7533733466233768,0.9635429624,0.9016113281,227.7,121,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.001, 'learning_rate': 'invscaling', 'warm_start': False}",84,0.9610470764,0.9604492188,227.0,0.0024958860000000582,0.058837890700000006,0.6999999999999886
37,34,33,33,range-normalized,10,20,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'invscaling', 'warm_start': False}",144,0.7530923380555784,0.9624023561,1.002929688,227.5,231,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.001, 'learning_rate': 'invscaling', 'warm_start': False}",84,0.9610470764,0.9604492188,227.0,0.001355279700000045,0.04248046920000004,0.5
38,34,33,33,range-normalized,10,30,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'constant', 'warm_start': True}",139,0.751851474653589,0.9636430255,0.9794921875,227.3,341,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.001, 'learning_rate': 'invscaling', 'warm_start': False}",84,0.9610470764,0.9604492188,227.0,0.00259594910000005,0.019042968699999996,0.30000000000001137
39,34,33,33,range-normalized,10,40,"{'hidden_layer_sizes': (150, 150, 150), 'activation': 'tanh', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'invscaling', 'warm_start': True}",6299,0.7631872886164316,0.9611051974,2.560058594,228.3,451,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.001, 'learning_rate': 'invscaling', 'warm_start': False}",84,0.9610470764,0.9604492188,227.0,5.812100000002207e-05,1.5996093752,1.3000000000000114
40,34,33,33,range-normalized,10,50,"{'hidden_layer_sizes': (50,), 'activation': 'identity', 'solver': 'adam', 'alpha': 0.01, 'learning_rate': 'invscaling', 'warm_start': False}",24,0.7539019425303054,0.9609986992,0.9069824219,227.7,561,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.001, 'learning_rate': 'invscaling', 'warm_start': False}",84,0.9610470764,0.9604492188,227.0,4.837719999994938e-05,0.0534667969,0.6999999999999886
41,34,33,33,range-normalized,15,10,"{'hidden_layer_sizes': (50,), 'activation': 'identity', 'solver': 'sgd', 'alpha': 0.01, 'learning_rate': 'constant', 'warm_start': False}",2,0.7663124025148965,0.9142179764,0.9458007813,228.3,176,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.001, 'learning_rate': 'invscaling', 'warm_start': False}",84,0.9610470764,0.9604492188,227.0,0.04682909999999996,0.0146484375,1.3000000000000114
42,34,33,33,range-normalized,15,20,"{'hidden_layer_sizes': (150, 150, 150), 'activation': 'identity', 'solver': 'adam', 'alpha': 0.01, 'learning_rate': 'invscaling', 'warm_start': True}",6179,0.764812206971413,0.9512700398,1.768798828,228.9,336,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.001, 'learning_rate': 'invscaling', 'warm_start': False}",84,0.9610470764,0.9604492188,227.0,0.009777036599999955,0.8083496092,1.9000000000000057
