idx,no_of_layers,l1,l2,l3,activation,solver,learning_rate,alpha,warm_start,precision,recall,f1,training time (ms),inference time (ms),train(cpu_line)(nano sec),test(cpu_line)(nano sec),train(mem)(MiB),test(mem)(MiB),total_addr_space(mem)(MiB)
2941,3,50,150,50,identity,adam,constant,0.001,TRUE,0.9566471179,0.955,0.9547652663,5388.650391,4.013916016,5911028618,8036664,10,0.7,163.2
2942,3,50,150,50,identity,adam,constant,0.001,FALSE,0.9555840099,0.95375,0.9536071112,5715.017578,3.993408203,5847976424,4234428,12.4,0,156.8
2943,3,50,150,50,identity,adam,adaptive,0.001,TRUE,0.9575202666,0.955,0.9546901213,3682.202393,4.044433594,4789989155,4283900,10.5,0,155.3
2944,3,50,150,50,identity,adam,adaptive,0.001,FALSE,0.9513264155,0.94875,0.9486077222,3378.074219,4.030761719,3925266530,4297019,14.6,0,156.2
2945,3,50,150,50,identity,adam,invscaling,0.001,TRUE,0.9573527239,0.955,0.9548031419,4197.372803,4.034423828,4956307945,4374268,18.3,0,162
2946,3,50,150,50,identity,adam,invscaling,0.001,FALSE,0.9504235584,0.94625,0.9461435528,4170.666748,4.014892578,4348421664,4320988,16.4,0,166
2947,3,50,150,50,identity,adam,constant,0.0001,TRUE,0.9544790254,0.95375,0.953654834,4923.127441,3.991699219,3932887715,4304253,10.3,0,153.7
2948,3,50,150,50,identity,adam,constant,0.0001,FALSE,0.9456076562,0.9425,0.9424512456,4792.791992,3.968994141,6058637565,4256349,6.5,0,157.1
2949,3,50,150,50,identity,adam,adaptive,0.0001,TRUE,0.9508102282,0.94875,0.9484764462,3500.579834,4.0234375,6553257360,4248444,10,0.6,157.7
2950,3,50,150,50,identity,adam,adaptive,0.0001,FALSE,0.9603505599,0.9575,0.9573123099,6283.469238,3.930419922,4554702972,4253020,8.5,0,162
2951,3,50,150,50,identity,adam,invscaling,0.0001,TRUE,0.9531132311,0.95125,0.9508673009,4538.893066,3.990478516,4623543491,4334813,12.6,2,160.4
2952,3,50,150,50,identity,adam,invscaling,0.0001,FALSE,0.9420856929,0.9375,0.9369367876,4789.597168,3.954589844,5782395860,4304477,10.4,0,154
2953,3,50,150,50,identity,lbfgs,constant,0.01,TRUE,0.9522187955,0.95125,0.9509703861,3463.557617,4.117675781,3587580415,4344061,31.6,0,178.2
2954,3,50,150,50,identity,lbfgs,constant,0.01,FALSE,0.9608768522,0.96,0.9599403141,3513.849365,4.093994141,3479766821,4428860,26.2,0,173.3
2955,3,50,150,50,identity,lbfgs,adaptive,0.01,TRUE,0.9610501164,0.96,0.9598372851,3288.288086,4.192871094,3590440196,4432637,31.4,0,175.7
2956,3,50,150,50,identity,lbfgs,adaptive,0.01,FALSE,0.9654524362,0.965,0.9648987695,3358.432129,4.049560547,3577158685,4341277,35.5,0,178.6
2957,3,50,150,50,identity,lbfgs,invscaling,0.01,TRUE,0.9634465199,0.9625,0.9624887687,3378.041992,4.057128906,3544971008,4423389,38.6,0,186.8
2958,3,50,150,50,identity,lbfgs,invscaling,0.01,FALSE,0.9619451738,0.96125,0.9610146245,3345.382813,4.010253906,3539977709,4306365,28.2,0,182
2959,3,50,150,50,identity,lbfgs,constant,0.001,TRUE,0.9654635087,0.965,0.9647799924,3336.390381,4.092285156,3669254492,4328221,37.3,0,179.1
2960,3,50,150,50,identity,lbfgs,constant,0.001,FALSE,0.956408702,0.955,0.9547886672,3276.228027,4.053466797,3551567568,4322174,29.7,0,184
2961,3,50,150,50,identity,lbfgs,adaptive,0.001,TRUE,0.9571460222,0.95625,0.9560353639,3406.785645,4.126220703,3501761235,4342909,32.6,0,177.2
2962,3,50,150,50,identity,lbfgs,adaptive,0.001,FALSE,0.9581482793,0.9575,0.9573143202,3522.552734,4.062255859,3551595955,4474973,29.8,0,179.6
2963,3,50,150,50,identity,lbfgs,invscaling,0.001,TRUE,0.9583744591,0.9575,0.957252044,3474.552734,4.079101563,3597088660,4469693,30.8,0,176.4
